# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  135       5.091986085604e-10       1.468191033853e-13      -5.660799922785e-12       0.000000000000e+00       5.552414295061e-12      -1.066887892501e-13      -5.012560785492e-15 
  136       5.137192059875e-10       1.470941500074e-13      -5.706955836384e-12       0.000000000000e+00       5.435927414023e-12      -9.936815789674e-14      -4.947488773506e-15 
  137       5.182341791219e-10       1.473039062697e-13      -5.750701457638e-12       0.000000000000e+00       5.322536509646e-12      -9.218146105505e-14      -4.890103214490e-15 
  138       5.227422441255e-10       1.474482787226e-13      -5.791975973207e-12       0.000000000000e+00       5.212171938770e-12      -8.521365773897e-14      -4.836412379383e-15 
  139       5.272420461935e-10       1.475272523353e-13      -5.830719400234e-12       0.000000000000e+00       5.104747857011e-12      -7.855406688104e-14      -4.782174335889e-15 
  140       5.317321579602e-10       1.475408921959e-13      -5.866872623170e-12       0.000000000000e+00       5.000161832202e-12      -7.229644136319e-14      -4.722892320121e-15 
  141       5.362110779052e-10       1.474893452115e-13      -5.900377430609e-12       0.000000000000e+00       4.898294457830e-12      -6.653904204756e-14      -4.653810108251e-15 
  142       5.406773161582e-10       1.473728476912e-13      -5.931176895570e-12       0.000000000000e+00       4.799027402644e-12      -6.134671555508e-14      -4.571534468445e-15 
  143       5.451296649484e-10       1.471917453546e-13      -5.959216481377e-12       0.000000000000e+00       4.702300409871e-12      -5.663269827142e-14      -4.479095106392e-15 
  144       5.495669522804e-10       1.469464785620e-13      -5.984443116772e-12       0.000000000000e+00       4.608059286520e-12      -5.226508587216e-14      -4.381383955708e-15 
  145       5.539879558947e-10       1.466375783313e-13      -6.006804900904e-12       0.000000000000e+00       4.516237703497e-12      -4.810361997403e-14      -4.283578437139e-15 
  146       5.583914021900e-10       1.462656680735e-13      -6.026251142184e-12       0.000000000000e+00       4.426756918000e-12      -4.399953762378e-14      -4.191146445566e-15 
  147       5.627759651451e-10       1.458314653270e-13      -6.042732397145e-12       0.000000000000e+00       4.339525495905e-12      -3.979542078693e-14      -4.109851337026e-15 
  148       5.671403075771e-10       1.453357850789e-13      -6.056200719500e-12       0.000000000000e+00       4.254452519292e-12      -3.536921531977e-14      -4.044095691110e-15 
  149       5.714832116435e-10       1.447795464260e-13      -6.066610352293e-12       0.000000000000e+00       4.171489222060e-12      -3.077136398669e-14      -3.991763032301e-15 
  150       5.758034588743e-10       1.441637698588e-13      -6.073917176472e-12       0.000000000000e+00       4.090590841208e-12      -2.610061204875e-14      -3.948888137141e-15 
  151       5.800997881228e-10       1.434895774623e-13      -6.078078546321e-12       0.000000000000e+00       4.011703288275e-12      -2.146110937776e-14      -3.911269760024e-15 
  152       5.843708947182e-10       1.427581946599e-13      -6.079053329467e-12       0.000000000000e+00       3.934762945113e-12      -1.696250030140e-14      -3.874466580352e-15 
  153       5.886154296191e-10       1.419709519572e-13      -6.076801946883e-12       0.000000000000e+00       3.859696459661e-12      -1.272001344840e-14      -3.833793149687e-15 
  154       5.928320325387e-10       1.411292785559e-13      -6.071286329839e-12       0.000000000000e+00       3.786430876141e-12      -8.825746238312e-15      -3.785426597541e-15 
  155       5.970194365470e-10       1.402346788637e-13      -6.062469702102e-12       0.000000000000e+00       3.714925507780e-12      -5.259345896282e-15      -3.729850257929e-15 
  156       6.011763715580e-10       1.392887571311e-13      -6.050316853827e-12       0.000000000000e+00       3.645142631705e-12      -1.969212862028e-15      -3.668721809551e-15 
  157       6.053015305544e-10       1.382932270744e-13      -6.034794262060e-12       0.000000000000e+00       3.577037268079e-12       1.099489771283e-15      -3.603792620027e-15 
  158       6.093935689110e-10       1.372499135787e-13      -6.015870130325e-12       0.000000000000e+00       3.510557027827e-12       4.004891223038e-15      -3.536909277090e-15 
  159       6.134511037187e-10       1.361607544011e-13      -5.993514428213e-12       0.000000000000e+00       3.445641960366e-12       6.808467991197e-15      -3.470015119779e-15 
