# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 0.630176 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.031267606319e-01       6.009695278384e+03 
       1.063330368592e-01       5.750326295201e+03 
       1.095421942992e-01       5.538988196054e+03 
       1.127531106883e-01       5.366587224065e+03 
       1.159651012160e-01       5.222627613811e+03 
       1.191777487574e-01       5.096209995991e+03 
       1.223907994467e-01       4.976862232976e+03 
       1.256040987952e-01       4.855665349653e+03 
       1.288175527391e-01       4.725820868290e+03 
       1.320311039359e-01       4.583135376371e+03 
       1.352447173566e-01       4.426257890687e+03 
       1.384583715337e-01       4.256492888865e+03 
       1.416720532463e-01       4.077199501535e+03 
       1.448857542940e-01       3.893262946572e+03 
       1.480994695363e-01       3.710152534727e+03 
       1.513131957030e-01       3.533275763497e+03 
       1.545269306702e-01       3.367351179170e+03 
       1.577406730209e-01       3.215992754965e+03 
       1.609544217762e-01       3.081480910246e+03 
       1.641681762326e-01       2.964665799712e+03 
       1.673819358614e-01       2.865101284209e+03 
       1.705957002475e-01       2.781154228501e+03 
       1.738094690518e-01       2.710382999983e+03 
       1.770232419870e-01       2.649741475282e+03 
       1.802370188032e-01       2.595902908878e+03 
       1.834507992782e-01       2.545769199531e+03 
       1.866645832114e-01       2.496691906638e+03 
       1.898783704198e-01       2.445656790551e+03 
       1.930921607346e-01       2.390864850512e+03 
       1.963059540000e-01       2.331313261156e+03 
       1.995197500707e-01       2.266966664047e+03 
       2.027335488115e-01       2.198554234998e+03 
       2.059473500959e-01       2.127431340872e+03 
       2.091611538055e-01       2.055305193147e+03 
       2.123749598292e-01       1.983936630933e+03 
       2.155887680625e-01       1.914970512370e+03 
       2.188025784075e-01       1.849748150523e+03 
       2.220163907715e-01       1.789263071052e+03 
       2.252302050677e-01       1.734128063460e+03 
       2.284440212138e-01       1.684595945560e+03 
       2.316578391324e-01       1.640579672323e+03 
       2.348716587501e-01       1.601664050642e+03 
       2.380854799977e-01       1.567146832230e+03 
       2.412993028097e-01       1.536089095068e+03 
       2.445131271239e-01       1.507451061564e+03 
       2.477269528815e-01       1.480175872357e+03 
