# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 0.630176 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.328934187254e-02       1.954071166055e+04 
       3.344242366395e-02       1.946120781563e+04 
       3.359609578808e-02       1.938154238189e+04 
       3.375037455757e-02       1.930184497228e+04 
       3.390527684517e-02       1.922244606881e+04 
       3.406082010830e-02       1.914269846314e+04 
       3.421702241493e-02       1.906323016276e+04 
       3.437390247094e-02       1.898366674970e+04 
       3.453147964890e-02       1.890410045615e+04 
       3.468977401865e-02       1.882457681039e+04 
       3.484880637953e-02       1.874506287566e+04 
       3.500859829451e-02       1.866554975556e+04 
       3.516917212632e-02       1.858611043740e+04 
       3.533055107576e-02       1.850663989048e+04 
       3.549275922229e-02       1.842727194204e+04 
       3.565582156710e-02       1.834786158859e+04 
       3.581976407884e-02       1.826853650946e+04 
       3.598461374219e-02       1.818918958832e+04 
       3.615039860953e-02       1.810992664419e+04 
       3.631714785586e-02       1.803078572298e+04 
       3.648489183735e-02       1.795148770530e+04 
       3.665366215367e-02       1.787243122552e+04 
       3.682349171448e-02       1.779317070840e+04 
       3.699441481039e-02       1.771412701871e+04 
       3.716646718880e-02       1.763529205281e+04 
       3.733968613490e-02       1.755612679979e+04 
       3.751411055841e-02       1.747710634644e+04 
       3.768978108648e-02       1.739817840608e+04 
       3.786674016317e-02       1.731922536581e+04 
       3.804503215636e-02       1.724028346335e+04 
       3.822470347240e-02       1.716151300311e+04 
       3.840580267953e-02       1.708266658535e+04 
       3.858838064053e-02       1.700380508833e+04 
       3.877249065577e-02       1.692510272690e+04 
       3.895818861738e-02       1.684626328988e+04 
       3.914553317580e-02       1.676752068247e+04 
       3.933458591964e-02       1.668871923727e+04 
       3.952541157050e-02       1.661008730714e+04 
       3.971807819388e-02       1.653129001299e+04 
       3.991265742806e-02       1.645258424947e+04 
       4.010922473268e-02       1.637386242933e+04 
       4.030785965905e-02       1.629514457980e+04 
       4.050864614460e-02       1.621631065610e+04 
       4.071167283388e-02       1.613751642968e+04 
       4.091703342926e-02       1.605874599509e+04 
       4.112482707440e-02       1.597985895296e+04 
       4.133515877440e-02       1.590096831897e+04 
       4.154813985668e-02       1.582200988197e+04 
       4.176388847751e-02       1.574290755931e+04 
       4.198253017960e-02       1.566380083504e+04 
       4.220419850692e-02       1.558469949993e+04 
       4.242903568399e-02       1.550537819761e+04 
       4.265719336756e-02       1.542607000850e+04 
       4.288883348035e-02       1.534650994036e+04 
       4.312412913727e-02       1.526692721765e+04 
       4.336326567685e-02       1.518697433147e+04 
       4.360644181215e-02       1.510715281360e+04 
       4.385387091787e-02       1.502698481093e+04 
       4.410578247312e-02       1.494665650283e+04 
       4.436242368268e-02       1.486611036855e+04 
       4.462406130322e-02       1.478532532190e+04 
       4.489098370590e-02       1.470433739896e+04 
       4.516350321223e-02       1.462307023140e+04 
       4.544195874668e-02       1.454134033686e+04 
       4.572671885808e-02       1.445935514583e+04 
       4.601818517142e-02       1.437709115087e+04 
       4.631679634380e-02       1.429437362546e+04 
       4.662303261335e-02       1.421130921659e+04 
       4.693742104777e-02       1.412765148210e+04 
       4.726054162195e-02       1.404347695660e+04 
       4.759303428159e-02       1.395899414038e+04 
       4.793560718482e-02       1.387346368108e+04 
       4.828904635663e-02       1.378764691191e+04 
       4.865422704563e-02       1.370085807909e+04 
       4.903212714079e-02       1.361349663835e+04 
       4.942384309253e-02       1.352512899030e+04 
       4.983060889196e-02       1.343532117649e+04 
       5.025381880186e-02       1.334485354073e+04 
       5.069505471063e-02       1.325361737206e+04 
       5.115611920704e-02       1.316026271524e+04 
       5.163907576234e-02       1.306582043304e+04 
       5.214629777180e-02       1.297026242519e+04 
       5.268052866780e-02       1.287226976522e+04 
       5.324495588525e-02       1.277191180916e+04 
       5.384330214431e-02       1.266975617725e+04 
       5.447993829789e-02       1.256404142168e+04 
       5.516002279679e-02       1.245621851033e+04 
       5.588967346105e-02       1.234341934471e+04 
       5.667617726959e-02       1.222677749946e+04 
       5.752824237061e-02       1.210472869111e+04 
