# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 0.630176 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.149314023990e-02       2.049390855516e+04 
       3.164023505612e-02       2.041464812614e+04 
       3.178776073406e-02       2.033531485075e+04 
       3.193572838530e-02       2.025607181309e+04 
       3.208414946714e-02       2.017682068508e+04 
       3.223303579609e-02       2.009729326551e+04 
       3.238239956191e-02       2.001801723013e+04 
       3.253225334243e-02       1.993849968075e+04 
       3.268261011904e-02       1.985891739994e+04 
       3.283348329301e-02       1.977948033385e+04 
       3.298488670260e-02       1.969994404705e+04 
       3.313683464103e-02       1.962027253563e+04 
       3.328934187547e-02       1.954070964005e+04 
       3.344242366689e-02       1.946120640002e+04 
       3.359609579103e-02       1.938153837199e+04 
       3.375037456053e-02       1.930185477351e+04 
       3.390527684814e-02       1.922244157369e+04 
       3.406082011128e-02       1.914269639656e+04 
       3.421702241794e-02       1.906322741595e+04 
       3.437390247395e-02       1.898366411527e+04 
       3.453147965192e-02       1.890409829197e+04 
       3.468977402169e-02       1.882457447205e+04 
       3.484880638259e-02       1.874505911769e+04 
       3.500859829758e-02       1.866554704463e+04 
       3.516917212940e-02       1.858610899817e+04 
       3.533055107886e-02       1.850663809488e+04 
       3.549275922540e-02       1.842726992154e+04 
       3.565582157023e-02       1.834785899011e+04 
       3.581976408199e-02       1.826853442404e+04 
       3.598461374536e-02       1.818918863825e+04 
       3.615039861271e-02       1.810992655622e+04 
       3.631714785907e-02       1.803078437464e+04 
       3.648489184058e-02       1.795148509695e+04 
       3.665366215692e-02       1.787242850890e+04 
       3.682349171774e-02       1.779316932157e+04 
       3.699441481368e-02       1.771412761070e+04 
       3.716646719210e-02       1.763529013254e+04 
       3.733968613823e-02       1.755612439570e+04 
       3.751411056177e-02       1.747710428824e+04 
       3.768978108986e-02       1.739817648377e+04 
       3.786674016658e-02       1.731922353297e+04 
       3.804503215979e-02       1.724028128480e+04 
       3.822470347586e-02       1.716151307499e+04 
       3.840580268302e-02       1.708266486072e+04 
       3.858838064404e-02       1.700380343726e+04 
       3.877249065931e-02       1.692510065291e+04 
       3.895818862096e-02       1.684625882732e+04 
       3.914553317941e-02       1.676751844781e+04 
       3.933458592328e-02       1.668872040821e+04 
       3.952541157417e-02       1.661008815891e+04 
       3.971807819759e-02       1.653128864970e+04 
       3.991265743181e-02       1.645258253871e+04 
       4.010922473646e-02       1.637386101092e+04 
       4.030785966288e-02       1.629514266579e+04 
       4.050864614847e-02       1.621630859080e+04 
       4.071167283779e-02       1.613751448301e+04 
       4.091703343322e-02       1.605874225062e+04 
       4.112482707841e-02       1.597985770605e+04 
       4.133515877846e-02       1.590096837357e+04 
       4.154813986079e-02       1.582200973446e+04 
       4.176388848168e-02       1.574290786761e+04 
       4.198253018382e-02       1.566379871998e+04 
       4.220419851120e-02       1.558469764894e+04 
       4.242903568833e-02       1.550537738943e+04 
       4.265719337197e-02       1.542606887950e+04 
       4.288883348483e-02       1.534650677324e+04 
       4.312412914181e-02       1.526692510710e+04 
       4.336326568147e-02       1.518697297165e+04 
       4.360644181686e-02       1.510714484006e+04 
       4.385387092266e-02       1.502698327120e+04 
       4.410578247800e-02       1.494665344435e+04 
       4.436242368765e-02       1.486610942685e+04 
       4.462406130828e-02       1.478532139509e+04 
       4.489098371107e-02       1.470433535271e+04 
       4.516350321751e-02       1.462306854497e+04 
       4.544195875207e-02       1.454133814309e+04 
       4.572671886361e-02       1.445935352086e+04 
       4.601818517708e-02       1.437708968170e+04 
       4.631679634960e-02       1.429437219276e+04 
       4.662303261929e-02       1.421130747509e+04 
       4.693742105388e-02       1.412765012906e+04 
       4.726054162823e-02       1.404347555637e+04 
       4.759303428806e-02       1.395899397784e+04 
       4.793560719149e-02       1.387346242878e+04 
       4.828904636352e-02       1.378764525831e+04 
       4.865422705275e-02       1.370085658918e+04 
       4.903212714816e-02       1.361349551832e+04 
       4.942384310017e-02       1.352512645674e+04 
       4.983060889991e-02       1.343531862920e+04 
       5.025381881014e-02       1.334485214303e+04 
       5.069505471927e-02       1.325361589834e+04 
