# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  126       4.684027271614e-10       1.414647936622e-13      -5.147264847249e-12       0.000000000000e+00       5.803896302663e-12       9.343573096839e-13      -5.586235759560e-15 
  127       4.729275052918e-10       1.423088461465e-13      -5.212258727198e-12       0.000000000000e+00       5.678224285900e-12       9.191323090749e-13      -5.547276491289e-15 
  128       4.774570686449e-10       1.430923127375e-13      -5.275430883210e-12       0.000000000000e+00       5.556029700705e-12       9.042274102325e-13      -5.504924239748e-15 
  129       4.819898613552e-10       1.438143573381e-13      -5.336709909142e-12       0.000000000000e+00       5.437200835829e-12       8.895334764057e-13      -5.456243803037e-15 
  130       4.865242150483e-10       1.444741984839e-13      -5.396024580038e-12       0.000000000000e+00       5.321603081534e-12       8.749327834429e-13      -5.398121028164e-15 
  131       4.910585371304e-10       1.450711266330e-13      -5.453304977210e-12       0.000000000000e+00       5.209098525528e-12       8.603407608851e-13      -5.328530382159e-15 
  132       4.955919043712e-10       1.456045549047e-13      -5.508485936004e-12       0.000000000000e+00       5.099608353715e-12       8.458366979561e-13      -5.250499784178e-15 
  133       5.001235286777e-10       1.460739767390e-13      -5.561504030237e-12       0.000000000000e+00       4.993056137922e-12       8.315468868356e-13      -5.168569766431e-15 
  134       5.046525705086e-10       1.464789522479e-13      -5.612296548902e-12       0.000000000000e+00       4.889347839461e-12       8.176040755866e-13      -5.087566211165e-15 
  135       5.091781375062e-10       1.468191098520e-13      -5.660801534354e-12       0.000000000000e+00       4.788371374423e-12       8.041475778662e-13      -5.012605730644e-15 
  136       5.136992480856e-10       1.470941577504e-13      -5.706957614657e-12       0.000000000000e+00       4.690013708762e-12       7.912797776628e-13      -4.947548167924e-15 
  137       5.182147208159e-10       1.473039162115e-13      -5.750703400086e-12       0.000000000000e+00       4.594215075332e-12       7.789302940869e-13      -4.890160647586e-15 
  138       5.227232708644e-10       1.474482917653e-13      -5.791978095796e-12       0.000000000000e+00       4.500919609641e-12       7.669778021327e-13      -4.836457382246e-15 
  139       5.272235424258e-10       1.475272693578e-13      -5.830721738503e-12       0.000000000000e+00       4.410058008177e-12       7.552921980667e-13      -4.782202757501e-15 
  140       5.317141071289e-10       1.475409140507e-13      -5.866875233338e-12       0.000000000000e+00       4.321547206597e-12       7.437344282994e-13      -4.722906710532e-15 
  141       5.361934624427e-10       1.474893727219e-13      -5.900380390693e-12       0.000000000000e+00       4.235290057915e-12       7.321563182574e-13      -4.653820108712e-15 
  142       5.406601175078e-10       1.473728815302e-13      -5.931180292922e-12       0.000000000000e+00       4.151190211513e-12       7.204473088512e-13      -4.571554965988e-15 
  143       5.451128636683e-10       1.471917855568e-13      -5.959220357884e-12       0.000000000000e+00       4.069199106566e-12       7.086802934998e-13      -4.479137415128e-15 
  144       5.495505280746e-10       1.469465243654e-13      -5.984447452185e-12       0.000000000000e+00       3.989273085532e-12       6.969800983401e-13      -4.381453284493e-15 
  145       5.539718876180e-10       1.466376281336e-13      -6.006809609318e-12       0.000000000000e+00       3.911358385054e-12       6.854779881866e-13      -4.283673530954e-15 
  146       5.583756678536e-10       1.462657193865e-13      -6.026256068468e-12       0.000000000000e+00       3.835390903979e-12       6.743117726080e-13      -4.191259220605e-15 
  147       5.627605419235e-10       1.458315147319e-13      -6.042737313312e-12       0.000000000000e+00       3.761295971375e-12       6.636259120026e-13      -4.109966509490e-15 
  148       5.671251728575e-10       1.453358287110e-13      -6.056205352893e-12       0.000000000000e+00       3.688999267232e-12       6.535308004186e-13      -4.044192506864e-15 
  149       5.714683473191e-10       1.447795821133e-13      -6.066614512824e-12       0.000000000000e+00       3.618461254206e-12       6.439759885361e-13      -3.991823539526e-15 
  150       5.757888527082e-10       1.441637977649e-13      -6.073920794246e-12       0.000000000000e+00       3.549645624886e-12       6.348649362266e-13      -3.948899535021e-15 
  151       5.800854341021e-10       1.434896002149e-13      -6.078081678345e-12       0.000000000000e+00       3.482508276212e-12       6.260946275152e-13      -3.911224701817e-15 
  152       5.843567934149e-10       1.427582174803e-13      -6.079056166471e-12       0.000000000000e+00       3.416997138186e-12       6.175554545086e-13      -3.874363481639e-15 
  153       5.886015885564e-10       1.419709827927e-13      -6.076804820251e-12       0.000000000000e+00       3.353052002579e-12       6.091311013246e-13      -3.833636501793e-15 
