# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  120       4.414166809350e-10       1.351825481167e-13      -4.722948799563e-12       0.000000000000e+00       6.637441527614e-12       1.036961144662e-12      -5.912478517939e-15 
  121       4.458915445799e-10       1.363691863390e-13      -4.797420024326e-12       0.000000000000e+00       6.488344301863e-12       1.018242623163e-12      -5.831733643325e-15 
  122       4.503762211448e-10       1.375015102616e-13      -4.870480014918e-12       0.000000000000e+00       6.343487328140e-12       1.000229763757e-12      -5.765475736237e-15 
  123       4.548702436753e-10       1.385783443070e-13      -4.942061406982e-12       0.000000000000e+00       6.202762807073e-12       9.828833677348e-13      -5.710910950177e-15 
  124       4.593730847891e-10       1.395985550281e-13      -5.012097176608e-12       0.000000000000e+00       6.066034216901e-12       9.661584331889e-13      -5.665021444879e-15 
  125       4.638841547438e-10       1.405610525646e-13      -5.080520678183e-12       0.000000000000e+00       5.933135542345e-12       9.500040097544e-13      -5.624560554308e-15 
  126       4.684026979906e-10       1.414648016024e-13      -5.147264716249e-12       0.000000000000e+00       5.803896698937e-12       9.343582573146e-13      -5.586233547022e-15 
  127       4.729274738091e-10       1.423088525425e-13      -5.212258562762e-12       0.000000000000e+00       5.678224674677e-12       9.191333036265e-13      -5.547273138530e-15 
  128       4.774570360159e-10       1.430923165962e-13      -5.275430674937e-12       0.000000000000e+00       5.556030082135e-12       9.042284051826e-13      -5.504919751264e-15 
  129       4.819898286005e-10       1.438143581087e-13      -5.336709661521e-12       0.000000000000e+00       5.437201210083e-12       8.895344115574e-13      -5.456238304229e-15 
  130       4.865241830315e-10       1.444741960880e-13      -5.396024313392e-12       0.000000000000e+00       5.321603448810e-12       8.749335841796e-13      -5.398114772781e-15 
  131       4.910585065508e-10       1.450711214215e-13      -5.453304724129e-12       0.000000000000e+00       5.209098886039e-12       8.603413494786e-13      -5.328523721194e-15 
  132       4.955918757705e-10       1.456045473866e-13      -5.508485723651e-12       0.000000000000e+00       5.099608707664e-12       8.458370425339e-13      -5.250493014168e-15 
  133       5.001235024336e-10       1.460739675151e-13      -5.561503875275e-12       0.000000000000e+00       4.993056485491e-12       8.315470167519e-13      -5.168563085535e-15 
  134       5.046525468239e-10       1.464789420150e-13      -5.612296456815e-12       0.000000000000e+00       4.889348180810e-12       8.176040851614e-13      -5.087559712623e-15 
  135       5.091781163976e-10       1.468190994075e-13      -5.660801498742e-12       0.000000000000e+00       4.788371709686e-12       8.041476301943e-13      -5.012599396109e-15 
  136       5.136992293661e-10       1.470941479485e-13      -5.706957619387e-12       0.000000000000e+00       4.690014038054e-12       7.912800871887e-13      -4.947541888626e-15 
  137       5.182147040569e-10       1.473039077704e-13      -5.750703430345e-12       0.000000000000e+00       4.594215398765e-12       7.789310428298e-13      -4.890154332510e-15 
  138       5.227232553753e-10       1.474482852082e-13      -5.791978141147e-12       0.000000000000e+00       4.500919927328e-12       7.669791154470e-13      -4.836450988162e-15 
  139       5.272235272398e-10       1.475272650003e-13      -5.830721793167e-12       0.000000000000e+00       4.410058320235e-12       7.552941410202e-13      -4.782196291916e-15 
  140       5.317140909883e-10       1.475409119878e-13      -5.866875296485e-12       0.000000000000e+00       4.321547513142e-12       7.437370019845e-13      -4.722900234691e-15 
  141       5.361934437845e-10       1.474893728149e-13      -5.900380466735e-12       0.000000000000e+00       4.235290359066e-12       7.321594560344e-13      -4.653813740654e-15 
